00_depth_preprocessing.wdl,"""preprocess_depth.batch"":""String""",batch,String
00_depth_preprocessing.wdl,"""preprocess_depth.beds"":""Array[File]""",beds,Array[File]
00_pesr_processing_single_algorithm.wdl,"""preprocess_algorithm.vcf"":""File""",vcf,File
00_pesr_processing_single_algorithm.wdl,"""preprocess_algorithm.sample"":""String""",sample,String
00_pesr_processing_single_algorithm.wdl,"""preprocess_algorithm.algorithm"":""String""",algorithm,String
00_pesr_processing_single_algorithm.wdl,"""preprocess_algorithm.min_svsize"":""Int""",min_svsize,Int
00_pesr_processing_single_algorithm.wdl,"""preprocess_algorithm.contigs"":""File""",contigs,File
01_depth_clustering_by_chrom.wdl,"""bedcluster_by_chrom.frac"":""Float""",frac,Float
01_depth_clustering_by_chrom.wdl,"""bedcluster_by_chrom.batch"":""String""",batch,String
01_depth_clustering_by_chrom.wdl,"""bedcluster_by_chrom.flags"":""String""",flags,String
01_depth_clustering_by_chrom.wdl,"""bedcluster_by_chrom.contigs"":""File""",contigs,File
01_depth_clustering_by_chrom.wdl,"""bedcluster_by_chrom.svtype"":""String""",svtype,String
01_depth_clustering_by_chrom.wdl,"""bedcluster_by_chrom.bed"":""File""",bed,File
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.flags"":""String""",flags,String
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.svsize"":""Int""",svsize,Int
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.frac"":""Float""",frac,Float
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.blacklist"":""File""",blacklist,File
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.dist"":""Int""",dist,Int
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.algorithm"":""String""",algorithm,String
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.contigs"":""File""",contigs,File
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.vcfs"":""Array[File]""",vcfs,Array[File]
01_pesr_clustering_single_algorithm.wdl,"""cluster_pesr_algorithm.batch"":""String""",batch,String
AddOrReplaceReadGroups.wdl,"""AddOrReplaceReadGroupsWorkflow.AddOrReplaceReadGroups.diskSpaceGb"":""Int""",diskSpaceGb,Int
AddOrReplaceReadGroups.wdl,"""AddOrReplaceReadGroupsWorkflow.AddOrReplaceReadGroups.sampleName"":""String""",sampleName,String
AddOrReplaceReadGroups.wdl,"""AddOrReplaceReadGroupsWorkflow.AddOrReplaceReadGroups.memoryGb"":""Int""",memoryGb,Int
AddOrReplaceReadGroups.wdl,"""AddOrReplaceReadGroupsWorkflow.AddOrReplaceReadGroups.inputBam"":""File""",inputBam,File
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.tumorTangentNormalizedFile"":""File""",tumorTangentNormalizedFile,File
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.intervalThresholdCopyRatio"":""Float""",intervalThresholdCopyRatio,Float
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.tumorHetFile"":""File""",tumorHetFile,File
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.numBurninAlleleFraction"":""Int""",numBurninAlleleFraction,Int
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.numOfSamplesCopyRatio"":""Int""",numOfSamplesCopyRatio,Int
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.tumorSegFile"":""File""",tumorSegFile,File
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.useAllCopyRatioSegs"":""Boolean""",useAllCopyRatioSegs,Boolean
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.maxNumIterSimSeg"":""Int""",maxNumIterSimSeg,Int
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.smallSegThreshold"":""Int""",smallSegThreshold,Int
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.caseSampleName"":""String""",caseSampleName,String
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.diskSpaceGb"":""Int""",diskSpaceGb,Int
AllelicCNV.wdl,"""gatk4AcnvAllelicCnvForCaptureWorkflow.gatk4AcnvAllelicCnvForCapture.maxNumIterSnpSeg"":""Int""",maxNumIterSnpSeg,Int
